,player,assists,championsKilled,goldEarned,individualPosition,minionsKilled,neutralMinionsKilled,numDeaths,skin,team,visionWardsBoughtInGame,win
0,ナウナヤングマン,16,5,12586,JUNGLE,20,146,1,Sejuani,100,3,Win
1,HAROZ100,9,7,14958,BOTTOM,236,20,5,Sivir,100,3,Win
2,Dan14,9,4,12984,TOP,216,8,1,Aatrox,100,3,Win
3,Raraku,9,2,8574,UTILITY,25,1,5,Zyra,100,10,Win
4,Пудинг,8,8,15200,MIDDLE,185,44,1,Leblanc,100,2,Win
5,miz0chi,9,0,7141,UTILITY,35,0,4,Braum,200,7,Fail
6,Nitorite,3,4,12924,BOTTOM,239,4,5,Ezreal,200,1,Fail
7,のっぺぃ,5,4,12769,MIDDLE,235,12,8,Renekton,200,0,Fail
8,弁天魚のムニエル,5,0,11541,TOP,229,12,4,Gragas,200,1,Fail
9,zridalma,3,5,10697,JUNGLE,27,116,5,RekSai,200,6,Fail
